"teamstats_offense_yearly_id","season_year","team","pass_cmp","pass_att","pass_yds","pass_int","pass_td","pass_sacked","pass_sacked_yds","exp_pts_pass","rush_att","rush_yds","rush_td","exp_pts_rush","fumbles","two_pt_md","two_pt_att","fga","fgm","drives","play_count_tip","score_pct","turnover_pct","start_avg","time_avg","points_avg"
98,2010,"DEN",334,580,4038,12,25,40,269,58.91,398,1544,13,-64.53,29,0,1,25,22,196,1043,30.6,11.7,72.5,138,1.69
83,2010,"DET",383,633,3810,16,26,27,191,24.52,404,1613,11,-34.08,20,2,5,30,25,193,1094,32.1,12.4,70.7,148,1.73
100,2010,"GB",352,541,4124,13,31,38,231,177.59,421,1606,11,-35.49,20,0,0,28,22,183,1028,35.0,10.9,70.2,168,1.97
89,2010,"HOU",365,574,4144,12,24,32,226,107.12,423,2042,20,29.35,15,1,1,30,27,179,1059,39.7,10.1,74.4,158,2.17
86,2010,"IND",450,679,4609,17,33,16,91,164.23,393,1483,13,-31.50,14,0,0,28,26,179,1116,40.2,13.4,72.5,160,2.23
91,2010,"JAX",291,469,3065,21,26,38,291,20.91,512,2395,14,38.34,23,0,0,28,22,177,1047,35.0,16.9,69.8,173,1.95
97,2010,"KC",274,475,2968,8,27,32,221,44.29,556,2627,13,-10.27,15,0,2,26,20,192,1089,31.3,6.8,69.5,158,1.77
94,2010,"MIA",335,557,3527,21,17,38,228,7.64,445,1643,8,-61.17,24,0,1,41,30,185,1081,29.7,15.7,71.4,160,1.43
101,2010,"MIN",305,505,3097,26,14,36,230,-50.20,441,1942,16,-23.58,20,1,2,18,17,189,1000,24.9,19.0,69.8,154,1.38
73,2010,"NE",331,507,3847,5,37,25,175,147.73,454,1973,19,45.50,9,0,1,25,22,166,1011,47.0,5.4,67.9,170,2.76
71,2010,"NO",450,661,4441,22,33,26,195,137.35,380,1519,9,-36.10,23,0,0,31,25,174,1098,38.5,16.7,70.8,177,2.12
82,2010,"NYG",339,539,3885,25,31,16,117,66.22,480,2200,17,-46.48,26,1,1,23,19,207,1058,32.4,20.3,69.0,151,1.90
95,2010,"NYJ",288,525,3242,14,20,28,178,39.60,534,2374,14,-7.46,23,1,1,39,30,199,1126,32.2,10.6,67.2,157,1.65
80,2010,"OAK",279,491,3180,16,18,44,291,16.19,504,2494,19,4.28,32,0,1,41,33,203,1080,34.5,11.8,71.2,147,1.76
75,2010,"PHI",348,561,3906,13,28,49,309,45.25,428,2324,18,59.56,33,1,2,38,32,196,1076,39.8,11.7,68.4,153,2.13
72,2010,"PIT",298,479,3601,9,22,43,289,96.31,471,1924,15,-45.75,22,2,2,37,29,179,1031,36.9,9.5,68.5,174,1.93
